time,close,high,low,open,volume
1.48E+18,968.29,968.29,968.29,968.29,0
1.48E+18,968.7,968.76,968.49,968.29,12993
1.48E+18,968.43,968.7,967.2,968.7,73800
1.48E+18,967.21,968,967.21,968.43,3500
1.48E+18,966.97,967.21,966.74,967.21,15969
1.48E+18,966.97,966.97,966.97,966.97,300
1.48E+18,967,967,967,966.97,13231
1.48E+18,966.89,966.89,966.89,967,500
1.48E+18,966.89,966.89,966.89,966.89,0
1.48E+18,966.89,966.89,966.89,966.89,0
1.48E+18,966.89,966.89,966.89,966.89,0
1.48E+18,966.89,966.89,966.89,966.89,0
1.48E+18,966.05,966.64,966.05,966.89,12900
1.48E+18,965,965.86,964.99,966.05,103237
